date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-01-07 23:59:03,coindesk,,0,24,29,"The latest Bitcoin Price Index is 904.75 USD http://www.coindesk.com/price/ pic.twitter.com/Cr4vf2pmai",,,,817883276232761348,https://twitter.com/coindesk/status/817883276232761348
2017-01-07 21:32:28,loomdart,Sicarious_,1,0,2,"gosh I've been looking at china so hard I kinda forget bitcoin has a US market",,,,817846387282939905,https://twitter.com/loomdart/status/817846387282939905
2017-01-07 21:00:02,coindesk,,6,31,29,"Wired - Don’t let bitcoin’s surge in value fool you: it’s no closer to becoming mainstream money. https://www.wired.com/2017/01/bitcoin-will-never-currency-something-way-weirder/ … vía @WIRED",,@WIRED,,817838228162101251,https://twitter.com/coindesk/status/817838228162101251
2017-01-07 20:00:03,coindesk,,1,23,21,"The latest Bitcoin Price Index is 889.35 USD http://www.coindesk.com/price/ pic.twitter.com/gx0LyimENn",,,,817823129737240576,https://twitter.com/coindesk/status/817823129737240576
2017-01-07 19:04:17,loomdart,,0,0,3,"lovely little dip for the people who missed out the first one, bitcoin is so nice!",,,,817809095684161537,https://twitter.com/loomdart/status/817809095684161537
2017-01-07 16:08:39,loomdart,,1,0,2,"$BTC #Bitcoin sometimes the market moves themselves can become rather obvious. 11+% is just enough to margin call 20/10xers. pic.twitter.com/Achzr1GCGQ",,,#Bitcoin,817764895856988161,https://twitter.com/loomdart/status/817764895856988161
2017-01-07 16:00:02,coindesk,,4,27,15,"The latest Bitcoin Price Index is 889.42 USD http://www.coindesk.com/price/ pic.twitter.com/vwEIo8tQfz",,,,817762730782453762,https://twitter.com/coindesk/status/817762730782453762
2017-01-07 15:46:57,iamjosephyoung,zerohedge,1,0,3,"Very misleading title. How can you possibly describe China's statement as "" #bitcoin crackdown?"" #FakeNewsAlerthttps://twitter.com/zerohedge/status/817759165707853824 …",,,#bitcoin #FakeNewsAlerthttps,817759437662228480,https://twitter.com/iamjosephyoung/status/817759437662228480
2017-01-07 15:40:41,coindesk,,0,14,7,"Bitcoin in 2016: The Year Politics Challenged Algorithmic, Apolitical Money http://www.coindesk.com/2016-bitcoin-year-politics-apolitical-money/ …pic.twitter.com/UYHMT6XFZm",,,,817757859563925504,https://twitter.com/coindesk/status/817757859563925504
2017-01-07 15:30:38,iamjosephyoung,aantonop,0,0,0,"Have you thought of hosting a weekly podcast on platforms like YouTube or Spotify? @aantonop #bitcoin https://twitter.com/aantonop/status/817732609983873024 …",,@aantonop,#bitcoin,817755331082100737,https://twitter.com/iamjosephyoung/status/817755331082100737
2017-01-07 14:28:41,BTCTN,,2,14,12,"Colombia’s Poor Banking Infrastructure Great Potential for Bitcoin https://news.bitcoin.com/colombias-poor-banking-infrastructure-great-potential-for-bitcoin/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/VQdSqeI6Tp",,,,817739741504208896,https://twitter.com/BTCTN/status/817739741504208896
2017-01-07 14:02:58,loomdart,BTCDJS,1,0,1,"if im not mentioning a ticker or anything it is probably bitcoin",,,,817733268644786177,https://twitter.com/loomdart/status/817733268644786177
2017-01-07 13:20:16,coindesk,,0,11,7,"The Only 10 Bitcoin Stock Photos You'll Ever See http://www.coindesk.com/the-only-10-bitcoin-stock-photos-youll-ever-see/ …pic.twitter.com/BsBq6LidlF",,,,817722522410033152,https://twitter.com/coindesk/status/817722522410033152
2017-01-07 13:00:32,coindesk,,0,17,15,"Following a People's Bank of China warning on compliance, bitcoin exchange BTCC has commented on the issue http://www.coindesk.com/bitcoin-exchange-btcc-responds-chinese-central-bank-statements/ …",,,,817717558224756736,https://twitter.com/coindesk/status/817717558224756736
2017-01-07 12:06:31,loomdart,,1,1,1,"Surprised no one is developing a bitcoin hardwallet that is built into an android phone",,,,817703962816159745,https://twitter.com/loomdart/status/817703962816159745
2017-01-07 12:00:04,coindesk,,0,19,12,"The latest Bitcoin Price Index is 875.57 USD http://www.coindesk.com/price/ pic.twitter.com/CXY7Ohxgww",,,,817702340572643328,https://twitter.com/coindesk/status/817702340572643328
2017-01-07 09:52:02,iamjosephyoung,coinbase,0,3,3,"Important talk by Monero core dev @fluffyponyza on why financial privacy is necessary. #bitcoin #privacyhttps://twitter.com/coinbase/status/817537864745398273 …",,@fluffyponyza,#bitcoin #privacyhttps,817670117567827969,https://twitter.com/iamjosephyoung/status/817670117567827969
2017-01-07 08:59:55,coindesk,,1,12,9,"Business Insider – Crypto Castle, Where Bitcoin Entrepreneurs Party and Plot the Future of Money http://www.businessinsider.com/crypto-castle-san-francisco-blockchain-entrepreneurs-2017-1/ … by @meliarobinpic.twitter.com/xQ9egJcvzw",,@meliarobinpic,,817657004995080192,https://twitter.com/coindesk/status/817657004995080192
