date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-01-10 23:59:03,coindesk,,1,12,19,"The latest Bitcoin Price Index is 904.38 USD http://www.coindesk.com/price/ pic.twitter.com/EBh2CPNITk",,,,818970438961393666,https://twitter.com/coindesk/status/818970438961393666
2017-01-10 22:25:54,TuurDemeester,TuurDemeester,0,1,3,"It's be more interesting to see Bitcoin's market cap as a % of gold's market cap. (now around 0.1%)",,,,818946997952585729,https://twitter.com/TuurDemeester/status/818946997952585729
2017-01-10 21:46:53,coindesk,,5,108,127,"Julian Assange Just Read Out a Bitcoin Block Hash to Prove He Was Alive http://www.coindesk.com/julian-assange-just-read-bitcoin-block-hash-prove-alive/ …pic.twitter.com/Pm2givsZbn",,,,818937182027137024,https://twitter.com/coindesk/status/818937182027137024
2017-01-10 20:58:38,TuurDemeester,,2,8,20,"Bitcoin priced in gold pic.twitter.com/7ngcMKGRU1",,,,818925036165857284,https://twitter.com/TuurDemeester/status/818925036165857284
2017-01-10 20:30:13,BTCTN,,1,14,12,"Polish Bitcoin Adoption Escalating with Strong Ecosystem https://news.bitcoin.com/polish-bitcoin-adoption-escalating-with-strong-ecosystem/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/lJCij4Fw4e",,,,818917885334589440,https://twitter.com/BTCTN/status/818917885334589440
2017-01-10 20:00:02,coindesk,,1,15,18,"The latest Bitcoin Price Index is 904.00 USD http://www.coindesk.com/price/ pic.twitter.com/P8knu4zOfs",,,,818910292344246273,https://twitter.com/coindesk/status/818910292344246273
2017-01-10 19:28:05,coindesk,,2,15,11,"Report: Bitcoin ETF Could Amass $300 Million in Assets (If Approved) http://www.coindesk.com/needham-bitcoin-etf-attract-300-million-assets-approved/ …pic.twitter.com/f7Vb8Erz4U",,,,818902249917317121,https://twitter.com/coindesk/status/818902249917317121
2017-01-10 18:59:54,coindesk,,0,11,4,"The AML agency in Indonesia has said Islamic State (IS) is using bitcoin to fund terrorism http://www.coindesk.com/indonesias-aml-agency-links-bitcoin-islamic-state-terrorism/ …",,,,818895158804643841,https://twitter.com/coindesk/status/818895158804643841
2017-01-10 17:52:45,BTCNewsletter,,0,0,1,"New #Platform Big China bitcoin exchange says no government pressure on outflows https://btc.icymi.email/big-china-bitcoin-exchange-says-no-government-pressure-on-outflows-preppersguide/ … #digitalpic.twitter.com/JljjDjeoXI",,,#Platform #digitalpic,818878257089171459,https://twitter.com/BTCNewsletter/status/818878257089171459
2017-01-10 17:15:10,BTCTN,,0,9,7,"Mainstream Media Should Research Before Publishing Bitcoin Reports https://news.bitcoin.com/mainstream-media-research-bitcoin/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/6xgW2MACSI",,,,818868798493052928,https://twitter.com/BTCTN/status/818868798493052928
2017-01-10 16:00:02,coindesk,,0,15,17,"The latest Bitcoin Price Index is 903.11 USD http://www.coindesk.com/price/ pic.twitter.com/zaby9kme0f",,,,818849894291177473,https://twitter.com/coindesk/status/818849894291177473
2017-01-10 13:33:14,coindesk,,0,9,5,"OKCoin Joins Calls for Bitcoin Regulation in China http://bit.ly/2iApEcJ pic.twitter.com/Gas6xy5oS1",,,,818812950534295553,https://twitter.com/coindesk/status/818812950534295553
2017-01-10 13:29:07,BTCTN,,0,11,13,"China’s Smart Money is Staying in Bitcoin This Time https://news.bitcoin.com/chinas-smart-money-staying-bitcoin/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/Xx46jFy0QB",,,,818811913660284929,https://twitter.com/BTCTN/status/818811913660284929
