date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-02-28 23:59:03,coindesk,,0,21,16,"The latest Bitcoin Price Index is 1,190.80 USD http://www.coindesk.com/price/ pic.twitter.com/8wunIpl6jn",,,,836727446384828416,https://twitter.com/coindesk/status/836727446384828416
2017-02-28 22:48:16,coindesk,,0,51,37,"$1,210: Bitcoin Price Hits New All-Time High http://www.coindesk.com/1210-bitcoin-price-hits-new-time-high/ …pic.twitter.com/T4nuLYCrQG",,,,836709633624506369,https://twitter.com/coindesk/status/836709633624506369
2017-02-28 20:00:03,coindesk,,0,32,33,"The latest Bitcoin Price Index is 1,197.09 USD http://www.coindesk.com/price/ pic.twitter.com/vr6N75AnvB",,,,836667299373395971,https://twitter.com/coindesk/status/836667299373395971
2017-02-28 17:34:43,BTCTN,,1,14,13,"Comparison: 3 Platforms Paying You in Bitcoin for Uploading Images https://news.bitcoin.com/three-platforms-paying-you-bitcoin-for-uploading-images/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/PxmlZP8JJE",,,,836630724417486848,https://twitter.com/BTCTN/status/836630724417486848
2017-02-28 17:19:44,BTCTN,,0,6,6,"http://Forum.bitcoin.com - Bitcoin is open to everyone, we think discussions should be too. Join the conversation today. #Bitcoin @BTCForum",,@BTCForum,#Bitcoin,836626953478209536,https://twitter.com/BTCTN/status/836626953478209536
2017-02-28 17:18:46,BTCTN,,1,6,9,"The latest Bitcoin Price is 1194.21 USD https://price.bitcoin.com #Bitcoin #Bitcoinpricepic.twitter.com/rqRC3XdI2e",,,#Bitcoin #Bitcoinpricepic,836626710061858816,https://twitter.com/BTCTN/status/836626710061858816
2017-02-28 16:10:14,iamjosephyoung,,2,19,31,"Winklevoss twin's #bitcoin ETF has a higher chance of being approved. Once approved, major funds will likely enter https://twitter.com/JamieHolmes1991/status/836251857148334080 …",,,#bitcoin,836609463184302080,https://twitter.com/iamjosephyoung/status/836609463184302080
2017-02-28 16:08:46,iamjosephyoung,btc_manager,0,0,1,"@BitcoinTrezor's fastest growing market is Japan. It is also the largest #bitcoin exchange market.. https://twitter.com/btc_manager/status/836198381039071232 …",,@BitcoinTrezor,#bitcoin,836609094827954181,https://twitter.com/iamjosephyoung/status/836609094827954181
2017-02-28 16:00:03,coindesk,,0,18,14,"The latest Bitcoin Price Index is 1,186.47 USD http://www.coindesk.com/price/ pic.twitter.com/aNqKrz8IIf",,,,836606901450342401,https://twitter.com/coindesk/status/836606901450342401
2017-02-28 16:00:01,coindesk,,2,15,14,"Bloomberg - Bitcoin's top rival is up 90% and ready to ditch mining https://www.bloomberg.com/news/articles/2017-02-28/bitcoin-s-top-rival-is-up-90-and-readying-its-next-big-move … vía @business",,@business,,836606894089338880,https://twitter.com/coindesk/status/836606894089338880
2017-02-28 15:01:16,coindesk,,0,18,18,"Buy bitcoin, by ethereum, use your own money, advises a consultant at PwC, to students looking to learn: http://www.coindesk.com/buy-bitcoin-pwc-fintech-director-tells-fordham-students/ …",,,,836592106739236872,https://twitter.com/coindesk/status/836592106739236872
2017-02-28 14:23:28,loomdart,,1,0,2,"when the loomlines so strong bitcoin tries to teleport over them and fails pic.twitter.com/tQ3d6gnmIi",,,,836582595852972032,https://twitter.com/loomdart/status/836582595852972032
2017-02-28 12:00:02,coindesk,,0,24,10,"The latest Bitcoin Price Index is 1,185.00 USD http://www.coindesk.com/price/ pic.twitter.com/zIJHgLG0wa",,,,836546500469587968,https://twitter.com/coindesk/status/836546500469587968
2017-02-28 11:37:08,BTCTN,,0,7,5,"Coinbase Exits as Hawaii Requires Bitcoin Companies to Hold Fiat Reserves https://news.bitcoin.com/coinbase-exits-as-hawaii-requires-money-transmitter-license/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/bMeCo5u45q",,,,836540737818808320,https://twitter.com/BTCTN/status/836540737818808320
2017-02-28 08:00:03,coindesk,,1,22,26,"The latest Bitcoin Price Index is 1,190.29 USD http://www.coindesk.com/price/ pic.twitter.com/iEquaBgawr",,,,836486105222492161,https://twitter.com/coindesk/status/836486105222492161
2017-02-28 07:12:08,BTCTN,,0,9,8,"Antonopoulos Details Bitcoin’s Two Layers of Protection Against Quantum Computing https://news.bitcoin.com/antonopoulos-bitcoins-protection-against-quantum-computing/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/0dyI5SqyZ9",,,,836474048674574336,https://twitter.com/BTCTN/status/836474048674574336
2017-02-28 05:30:19,coindesk,,1,21,14,"Users of bitcoin exchanges are being warned to change their passwords in light of a bug tied to Cloudflare. http://bit.ly/2mx81Ni",,,,836448422894895104,https://twitter.com/coindesk/status/836448422894895104
2017-02-28 04:12:58,iamjosephyoung,,0,1,3,"Coinbase terminated services in Hawaii due to impractical regulations. It is more difficult for Hawaii to regulate undrgrnd #bitcoin market pic.twitter.com/dNvZEdGrRb",,,#bitcoin,836428958421786624,https://twitter.com/iamjosephyoung/status/836428958421786624
2017-02-28 04:00:03,coindesk,,1,27,17,"The latest Bitcoin Price Index is 1,190.60 USD http://www.coindesk.com/price/ pic.twitter.com/f0tpoHtX7c",,,,836425706527674368,https://twitter.com/coindesk/status/836425706527674368
2017-02-28 03:30:53,BTCNewsletter,zFlashio,0,0,0,"New #Digital Bitcoin bug calls out Peter Schiff’s gold infatuation https://btc.icymi.email/bitcoin-bug-calls-out-peter-schiffs-gold-infatuation-cnbc-bitcoin/ … via @zFlashio #technologypic.twitter.com/ik63ZQXExw",,@zFlashio,#Digital #technologypic,836418369960218625,https://twitter.com/BTCNewsletter/status/836418369960218625
2017-02-28 03:00:38,BTCNewsletter,CNBC,0,1,1,"New #financial Bitcoin bug calls out Peter Schiff’s gold infatuation https://btc.icymi.email/bitcoin-bug-calls-out-peter-schiffs-gold-infatuation/ … via @CNBC #technologypic.twitter.com/B1gxdL8chd",,@CNBC,#financial #technologypic,836410756883234816,https://twitter.com/BTCNewsletter/status/836410756883234816
